paper name,url,headline,article,publication date
thedailystar,https://www.thedailystar.net/business/economy/news/bb-probe-union-bank-s-alam-staffer-took-tk-118cr-sans-approval-3739296,BB probe into Union Bank: ‘S Alam staffer’ took Tk 118cr sans approval,"A ""staffer of S Alam Group"" took out Tk 118 crore from Union Bank without any approval or following any banking norms, indicating how the controversial business conglomerate used the bank. During a recent inspection, Bangladesh Bank also discovered that money was withdrawn from the bank even after its board was reconstituted in August. The inspection team found the Chattogram-based business group and its associate companies took out Tk 17,229.10 crore from the bank through scams and irregularities, which is 67 percent of its total disbursed loans. Outstanding loans of the lender stood at Tk 25,507 crore till December last year, BB data shows. The central bank conducted the inspection last month based on the financial statement of the bank until December 2023. S Alam Group and its beneficiaries got money out from the ailing bank even after the board of the shariah-based lender reconstituted by the central bank on August 27 this year. The central bank inspection report said the Union Bank's Panthapath branch gave a loan of Tk 118.63 crore to a customer without any approval of the lender's head office. The inspection team found a mobile phone number on the account opening form, but it was switched off. The inspection report said the customer who got the loan is an employee of S Alam group as per the information provided by the bank. The central bank detected that the beneficiaries of the loan belong to S Alam Group. Union Bank approved Tk 11,423.13 crore loans to 247 beneficiaries of companies of S Alam Group, and now the outstanding loans of the companies have stood at Tk 17,229.10 crore, the inspection report says. The bank management and board were directly involved in approving the loans to their names and transferring the money to different accounts of the controversial group and its associate companies, it added. Before reconstituting the board of Union Bank, many members of the S Alam family were in the board of the bank. S Alam Group Chairman Mohammad Saiful Alam's siblings Halima Begum, Osman Goni, and Md Rashedul Alam along with his wife Marzina Sharmin and nephew Mohammad Mostan Billah Adil were in the board. The inspection team found that Mudaraba Term Deposit Receipt (MTDR), which offers returns by depositing money for fixed period based on Mudaraba principles of Islamic Shariah, of Saiful Alam was cashed at Muradpur and Bandartila branches of Chattogram of the bank on August 11 and then the money was transferred to Khatunganj branch. On September 3 and 9, bank Managing Director ABM Mokammel Hoque Chowdhury, considered a close ally of S Alam, withdrew Tk 2.32 crore from the bank when customers failed to get their deposited money back. The Daily Star tried to reach Mokammel, who is absconding, over the phone but failed. In August, Md Rashedul Alam, brother of S Alam, withdrew Tk 8 crore from Kodomtali branch of Chattogram and transferred the money to various accounts; Arshad Mahmood, a relative of S Alam, withdrew Tk 4.22 crore from Lichubagan branch of Chattogram; and a trading house of S Alam Group withdrew Tk 12.29 crore from Khatunganj and Agrabad branches, the BB probe has found. The bank officials helped withdraw and transfer the money violating the central bank guidelines, the report mentions. Its current Chairman Md Farid Uddin Ahmed and Deputy Managing Director Shafiuddin Ahmed did not respond to our phone calls and Whatsapp texts. S Alam Group Chairman Mohammad Saiful Alam could not be contacted for comments. Union Bank got its licence in 2013.",2024-10-29 02:33:00
thedailystar,https://www.thedailystar.net/business/economy/rmg/news/workers-block-highway-2nd-day-15-km-tailback-ashulia-3716961,"Workers block highway for 2nd day, 15-km tailback in Ashulia","Following the blockade, the traffic congestion now spread from Nabinagar to Jirani and from Nabinagar to BPATC on the Dhaka-Aricha highway, our Savar correspondent reports quoting Dhaka North Traffic Inspector (Admin) Hossain Shahid Chowdhury. The workers of Birds Group in Ashulia industrial area blocked the highway since 9:00am yesterday, demanding arrears and reopening of the factory. However, most garment factories in the industrial belt are operational today, though workers at some factories have not joined yet, according to a source at the industrial police. Abu Bakar Siddique, officer-in-charge (OC) of Ashulia Police Station, said that senior army officers are in contact with the factory owners to resolve the issue. Khairul Mamun Mintu, legal affairs secretary of the Bangladesh Garments and Sweater Workers Trade Union Centre, told The Daily Star that a meeting involving the Bangladesh Garment Manufacturers and Exporters Association, the workers, and the owners was held at the Directorate of Factory and Institution Inspection. According to the meeting's decision, Birds Group was supposed to pay the workers their dues yesterday, but they failed to do so. Asked, BGMEA senior vice president Abdullah Heel Rakib today said the Birds Group owners were asked yesterday to pay the workers arrears but they would not do that yet. Birds Group owner Engineer Anwar has been hospitalised as he is sick, the official said adding that his family members' could not be reached over phone. Of the factories which were not operational today, AR Jeans Producer Ltd in Kathgara declared a public holiday today. Also, Mango Tex Ltd in Tongabari, Setara Apparels in Jamgara, and Skyline factory remain now closed, but factories -- Mandal Knitwear, Natural Denim, and Natural Indigo are running their operations. Birds Group on August 27 issued a notice, saying that due to the Russia-Ukraine war and the global economic downturn, it had been struggling with a lack of work. Despite ongoing financial losses, the company attempted but failed to secure new orders, which led to the closure of several divisions, including RNR Fashions Ltd, Birds Garments Ltd, Birds Fedrex Ltd, and Birds A&Z Ltd.",2024-10-01 14:08:00
thedailystar,https://www.thedailystar.net/business/news/bangladesh-holds-just-001-global-potato-market-4057516,Bangladesh holds just 0.01% of global potato market,"The thriving global potato industry is currently valued at approximately $120 billion, but an agriculture-based country like Bangladesh holds less than 0.01 percent share in the international market, experts said today. The South Asian nation shipped only $14 million worth of the tuber in the 2024-25 fiscal year, which highlights the country's minimal global footprint and untapped potential for growth, they added. The experts made the comments at an event organised by the Bangladesh Cold Storage Association at the International Convention City Bashundhara in the capital. At the event, M Masrur Reaz, chairman of Policy Exchange of Bangladesh, said during a presentation that diversifying Bangladesh's economy through agro-processed products such as potatoes is vital to reduce reliance on a single export product and strengthen long-term economic resilience. ""Achieving this goal will require strong policy support, incentives, regulatory reforms, and increased investment in infrastructure,"" he said. Given the country's climate, soil fertility, and production systems, agricultural goods offer Bangladesh a stronger advantage than any other sector, he added. Globally, potatoes account for about 4 percent of total crop production. Asia produces 54 percent of the world's potatoes, and Bangladesh ranks among the top 10 producers in Asia, following China and India. Reaz said Bangladesh's exports remain heavily reliant on a single product—readymade garments—posing significant macroeconomic risks. He also said that potatoes offer several advantages, as they are high-yielding (producing 10-28 tonnes per acre), adapt well to local conditions, and have a short production cycle of three to four months. As climate change increasingly affects Bangladesh—one of the world's most climate-vulnerable countries—potatoes stand out as a climate-resilient crop, he added. Jahangir Alam Khan, a renowned agricultural economist, said that if the agriculture ministry alone promotes potato consumption, people may perceive it as a directive to reduce pressure on rice due to shortages. However, if stakeholders in the potato sector—cold storage operators and businesses—inform people about the diverse uses of potatoes at both urban and rural levels, consumption will increase organically, he said. Currently, potato production is high, but consumption is low, resulting in falling prices, Khan said. ""Increased usage is therefore essential."" Md Mahmudur Rahman, additional secretary of the agriculture ministry, said that in many European countries, potatoes are a central component of meals, while in Bangladesh, rice-based dishes dominate. Cultural acceptance must develop organically over time, he said. The government is now considering direct price support or cash assistance for farmers who have incurred losses, Rahman said. This support will depend on cultivated acreage and available fiscal resources, he added. Mohammad Masum, chairman of Supreme Seed Company Limited, a renowned local seed company, emphasised that if food security is a key Sustainable Development Goal for Bangladesh, potatoes should be more fully integrated into the national diet. He suggested that declaring potatoes the country's second staple food would enable coordinated policy measures.",2025-12-13 19:38:00
thedailystar,https://www.thedailystar.net/business/economy/news/farmers-reduce-potato-acreage-next-year-after-huge-losses-4059421,Farmers reduce potato acreage for next year after huge losses,"After suffering staggering losses from a bumper harvest and low prices this year, potato farmers across Bangladesh are going for reduced cultivation to avoid a repeat of the crisis, indicating a lower supply next year. Data from the Department of Agricultural Extension (DAE) show that potatoes have been planted on 3.77 lakh hectares (per hectare = 2.47 acres) this season, a drop of 23.4 percent from last year's 4.92 lakh hectares. The cultivated area is also 0.9 lakh hectares short of the government's target for the October-November planting window. According to the Agriculture Information Service, the potatoes planted during this period will be harvested between February and April, forming the first batch of fresh supply for 2026. Seed planting in major potato-producing districts was largely completed by November 30, said Md Mosharraf Hossain Molla, chief scientific officer at the Tuber Crop Research Center of the Bangladesh Agricultural Research Institute. The late planting season is still underway and may add another 5 percent to 10 percent of land nationwide over the next week, he added. Md Obaidur Rahman Mondol, director of the DAE's field service wing, said many growers failed to recover production costs last year. ""To avoid similar losses, farmers have understandably reduced the area under potato cultivation this season."" Potato is Bangladesh's leading vegetable and one of the country's most important food crops, playing a crucial role in food security. Encouraged by high prices last year, farmers expanded acreage at an unprecedented rate, targeting higher profit this year. Instead, it triggered a severe market glut due to an excessive harvest. According to the Bangladesh Bureau of Statistics, potato output reached a historic high of 1.15 crore tonnes this year, far exceeding annual domestic demand of around 90 lakh tonnes. Cultivation rose 8 percent year-on-year to 4.92 lakh hectares in fiscal year 2024-25 (FY25), while overall production increased 9 percent from 1.06 crore tonnes the previous year. The oversupply sent prices tumbling, forcing many farmers to sell potatoes for as little as Tk 9-Tk 11 per kilogramme (kg), well below the government's estimated average production cost of Tk 14. In the northern region, production costs were even higher, at around Tk 20 per kg, according to official data. The losses have left deep scars. Shahjahan Ali, a farmer from Kurigram, said he made a substantial profit last year by cultivating potatoes on 25 bighas in late 2023, selling at Tk 40-Tk 42 per kg against a production cost of Tk 25. Hoping to ride the wave, he doubled his acreage to nearly 50 bighas in 2024. While the harvest was good, prices collapsed to Tk 9 per kg with costs remaining unchanged. He suffered losses of about Tk 16 per kg. ""I have managed to repay only one-fifth of my loans,"" he said. ""Lenders frequently visit my home and are threatening legal action."" This season, he has decided not to cultivate potatoes at all. Haraprasad Roy from Lalmonirhat had a similar experience. After earning strong returns last year, by cultivating potatoes on 1.5 acres in 2023. With production cost per kg at Tk 10-Tk 12, and wholesale price at Tk 40-Tk 42 per kg, he made huge profit. He expanded cultivation to five acres targeting more profit this year. ""Production costs rose to Tk 18-Tk 20 per kg, but selling prices fell to around Tk 10. I borrowed Tk 6 lakh from NGOs and financial institutions for cultivation and have so far been able to repay only Tk 2 lakh,"" he said. Like Ali, he too plans to scale back cultivation to just one acre this season. Mohammad Lutfur Rahman of Gaibandha said he expanded potato cultivation from 10 bighas in 2023 to 16 bighas in 2024, and suffered staggering losses. ""I borrowed Tk 3.5 lakh from NGOs to grow potatoes and have repaid less than half so far,"" he said. Due to the losses, he plans to cultivate potatoes on only one-third of last season's land. ""I am a farmer. If I leave the land uncultivated, I will have nothing to eat.""",2025-12-16 00:41:00
thedailystar,https://www.thedailystar.net/business/organisation-news/news/investment-corporation-bangladesh-holds-49th-agm-4059266,Investment Corporation of Bangladesh holds 49th AGM,"The Investment Corporation of Bangladesh (ICB) recently held its 49th annual general meeting (AGM) virtually, according to a press release. Prof Abu Ahmed, chairman of the Investment Corporation of Bangladesh, presided over the meeting, according to a press release. At the AGM, shareholders approved the annual report and audited accounts for the financial year 2024-25. No dividend was declared for the year that ended on June 30, 2025, compared with a 2 percent cash dividend paid in the previous financial year. During the period under review, ICB made aggregate investments of Tk 3,574.34 crore in the capital market and recovered Tk 179.81 crore through dividends, margin loans, project loans and other loans and advances. The total transaction volume of ICB and its subsidiary companies on both bourses stood at Tk 13,937.23 crore, marking a 6.55 percent increase from Tk 13,079.39 crore in the previous year. Niranjan Chandra Debnath, managing director of ICB, along with directors and shareholders, also attended the meeting.",2025-12-15 20:30:00
thedailystar,https://www.thedailystar.net/business/organisation-news/news/midland-bank-family-donates-tk-10-lakh-bengal-institute-4059271,Midland Bank family donates Tk 10 lakh to Bengal Institute,"The Midland Bank family has provided Tk 10 lakh in financial assistance to the Bengal Institute for a comprehensive publication on the life and work of renowned architect Muzharul Islam. Of the total amount, Tk 5 lakh was contributed from the bank's Islamic banking fund as part of its corporate social responsibility (CSR) initiatives, while the remaining Tk 5 lakh was donated by members of the Midland Bank family. Md Ahsan-uz Zaman, managing director and chief executive officer of Midland Bank PLC, handed over the cheques to Nusrat Sumaiya, research and design director of the Bengal Institute for Architecture, Landscapes and Settlements, at the bank's head office in Dhaka on Sunday, according to a press release. The Bengal Institute for Architecture, Landscapes and Settlements has undertaken the publication titled ""Muzharul Islam: An Architect of Tomorrow"" as part of the Architect Muzharul Islam Centenary Project, marking the 100th birth anniversary of the architect. The centenary project includes a memorial programme, a lecture series, a commemorative video and the publication, which is scheduled to be launched in early 2026. In recognition of the initiative, the Midland Bank family decided to extend financial support to the Bengal Institute. Md Rashadul Anwar, head of the public relations department, and Syed Saquibuzzaman, head of the Islami banking division of the bank, were also present.",2025-12-15 20:33:00
thedailystar,https://www.thedailystar.net/business/organisation-news/news/banglalinks-buse-named-ceo-the-year-fast-mode-awards-2025-4059276,Banglalink's Buse named ‘CEO of the Year’ at Fast Mode Awards 2025,"Mobile operator Banglalink has recently won two awards at The Fast Mode Awards 2025. Of these, the company received the ""Customer Experience (CX) Champion"" award in recognition of its continued progress in enhancing customer experience. Johan Buse, chief executive officer of Banglalink, was named ""CEO of the Year"" (Asia Pacific Region) for his leadership excellence. Under his guidance, the company has streamlined operations, fostered a customer-first culture, reduced unnecessary hierarchies to accelerate decision-making, and empowered frontline teams. The Fast Mode Awards, organised by The Fast Mode, a globally acclaimed telecommunications media and research platform based in Malaysia, celebrate innovation, leadership, and meaningful industry impact. The 2025 edition received over 300 submissions across Telco, Solution Provider, and Leadership Excellence categories, evaluated by an international panel of experts from leading research institutions, industry bodies, and analyst organisations. Buse has also played a key role in returning Banglalink to a growth trajectory after five consecutive quarters of revenue decline. His efforts have accelerated the company's shift toward a broader and more dynamic digital ecosystem, aligned with parent company VEON's DO1440 ambition, designed to make every moment of the customer's day easier, seamless, and more effective. The ""CX Champion"" award reflects Banglalink's commitment to customer service excellence through technological innovation. The company has introduced AI-powered services, enhanced self-service options via the MyBL app, and developed a more structured customer feedback system. These initiatives have resulted in a 94 percent First Contact Resolution rate, a 35 percent reduction in call center volume, and notable progress supported by Bangladesh's first GenAI-powered service chatbot. From Bangladesh, two other operators -- Grameenphone and Robi Axiata -- were also recognised, winning awards in the Operational Excellence and Emerging Telco Brand categories, respectively.",2025-12-15 20:39:00
thedailystar,https://www.thedailystar.net/business/organisation-news/news/nagad-enables-online-metro-rail-card-recharge-commuters-4059281,Nagad enables online metro rail card recharge for commuters,"Nagad has made it easier for metro rail users to recharge their cards instantly from home using the Nagad wallet. The system allows recharges of a minimum of Tk 100 and a maximum of Tk 5,000 at a time. Passengers can access the recharge link through the Dhaka Transport Coordination Authority (DTCA) website. Currently, two types of cards are used in the metro rail system -- Rapid Pass and MRT Pass -- and both can be recharged via Nagad. To recharge a metro rail card, passengers must first visit the Rapid Pass website (www.rapidpass.com.bd) or app. Those not yet registered on the platform must complete the registration process by providing the required information and card details. After registration, users can sign in, select their card, and choose the desired recharge amount. In the payment section, they should select the mobile banking option, choose Nagad, enter their Nagad number, and provide the OTP received via SMS. Once the password is entered, the recharge is completed. For future transactions, users can save their Nagad wallet number for quicker recharges. After completing the online recharge, passengers must tap their card at the Add Value Machine (AVM) at the respective stations to load the recharged balance. A confirmation SMS will be sent to the registered mobile number.",2025-12-15 20:48:00
thedailystar,https://www.thedailystar.net/business/economy/news/bangladesh-spent-26b-debt-servicing-fy24-4059411,Bangladesh spent $26b on debt servicing in FY24,"The country spent more than $26 billion on servicing domestic and foreign debt in fiscal year (FY) 2023-24, nearly half of its national budget, leaving limited room for development and social spending, according to a study by a private think tank. The pressure of debt servicing is mounting due to the rising debt stock and higher interest payments, said the study by Research and Policy Integration for Development (RAPID), noting that the growing burden is increasingly squeezing public expenditure. ""Rising debt-servicing costs against weak domestic revenue mobilisation effort risk undermining development and macroeconomic stability,"" said MA Razzaque, chairman of RAPID, yesterday. At a seminar in Dhaka on socioeconomic priorities for the next government, Razzaque laid out 12 challenges for the next government, ranging from debt servicing and graduation from the least developed country club to inflation control, limited social spending, energy security and unemployment. In FY24, total debt stock stood at $174 billion, equal to 38.5 percent of gross domestic product (GDP). In that year, domestic and external debt servicing was $26.26 billion. ""If we convert Bangladesh's domestic revenue into dollars, only 36 percent remains after debt servicing,"" Razzaque said, citing a joint World Bank and International Monetary Fund (IMF) study conducted as part of a debt sustainability analysis. ""If we consider total government revenue, including NBR revenue plus non-tax revenue, this share stands at over 31 percent."" This means that even when the government wants to spend more on development, debt servicing appears as a heavy financial burden. Over the past four to five years, development budgets have often been nominal in real terms, with a large share of government expenditure going towards debt payments. ""Even though we talk about foreign debt, the borrowing from the domestic sector has also increased very rapidly, especially between fiscal years 2016 and 2024,"" said Razzaque. During this period, domestic borrowing has grown at an average annual rate of 18 percent. ""One of the next government's primary tasks will be to rein in this fiscal pressure. Otherwise, it will have little room to operate or pursue its priorities,"" he said. The economist also warned that the next elected government may have little scope to meaningfully revise the budget inherited from its predecessor due to the sluggish pace of revenue collection. ""If we fail to accelerate revenue mobilisation, much of our future development will be seriously hindered,"" he said. He described current revenue trends as one of the biggest risks facing the next government, limiting its ability to introduce any major fiscal changes. Chronic underinvestment in health, education and social protection, he added, should top the agenda when the new government prepares its first budget, expected between February and June. Bangladesh's tax-to-GDP ratio has fallen to around 7 percent, a level Razzaque called ""alarmingly low"". Comparable economies such as India, China, Nepal, Malaysia, Cambodia and Thailand collect far more, while Bangladesh's tax-to-GDP ratio also trails the average for lower-middle-income countries. He said stronger revenue collection matters not only for development spending but for reducing inequality, with fair taxation of higher-income groups and targeted support for poorer communities helping to narrow social gaps. Referring to an upcoming RAPID study, Razzaque said 54 percent of national wealth is held by just one percent of the population, a concentration he said could threaten social stability. He added that the first test for the next government will be managing immediate crises, which may restrict attention to longer-term goals. ""Early challenges, including inflation, banking stability, reserves, and LDC graduation, will shape the government's term,"" he said. Acknowledging the low tax-to-GDP ratio, NBR Chairman Md Abdur Rahman Khan said that developed countries can allocate around five percent of GDP to health spending after collecting revenue equal to 30 to 40 percent of their GDP. ""But with Bangladesh generating only six percent of GDP in revenue, how can we spend five percent on health? If expenditure exceeds income, the debt burden naturally increases. That is why we are trying to boost revenue through modernising our management systems,"" he said. At the seminar, business leader Anwar-Ul Alam Chowdhury said businesspeople are facing various difficulties during the ongoing interim government period, yet political actors appear disengaged. ""They seem focused only on getting back into power. If this mindset continues, Bangladesh will lose the opportunities now emerging and fall further behind where it currently stands,"" he said. Former caretaker government adviser Rasheda K Choudhury urged higher investment in health and education. ""If we do not step up investment in these sectors, we will have to face the consequences,"" she said. She also called for stronger action against corruption and improvements in governance. Among others, Prof Mohammad Mainul Islam and Prof Rashed Al Mahmud Titumir of the University of Dhaka; Shawkat Hossain, head of online, Prothom Alo; and Doulot Akter Mala, president of the Economic Reporters' Forum, also spoke at the event. M Abu Eusuf, executive director of RAPID, moderated the programme.",2025-12-16 00:00:00
thedailystar,https://www.thedailystar.net/business/global-economy/news/wild-currency-swings-put-emerging-markets-the-spotlight-4059436,Wild currency swings put emerging markets in the spotlight,"Trading in the Hungarian forint, long a niche emerging market currency, has more than doubled since US President Donald Trump took office in January, with trader interest only growing since his sweeping ""Liberation Day"" import tariffs announcement. These increased volumes are no blip either, say traders, strategists and hedge funds navigating the almost $10-trillion-a-day global FX markets. The forint has strengthened roughly 20 percent against the dollar this year, set for its best year in almost a quarter of a century and making it one of 2025's top emerging currency performers . It has been a good year more widely: MSCI's Emerging Market Currency Index hit a record in July and is on course for its best year since 2017, having gained more than 6 percent. Traders, fund managers and analysts spoken to by Reuters mostly expect this trend to continue next year, too. The gains come as a more volatile and weakening dollar prompts investors to rethink exposure to the currency and question long-held assumptions about the direction and standing of the greenback. Meanwhile, they are betting on improving value across some developing countries from South Africa to Hungary as they diversify away from US assets. ""We think that the cycle of what we would call a bear market for EM currencies, which has lasted for 14 years now, has likely turned,"" said Jonny Goulden, head of EM Fixed Income Strategy Research at JPMorgan. ""That is part of this turn in the dollar cycle, where the For Elina Theodorakopoulou, portfolio manager for emerging markets debt at Manulife, the surprise this year was that price swings were triggered by events in developed economies. ""It was the cool kid in the class this year, emerging markets, in the sense that it wasn't the driver of volatility,"" said Theodorakopoulou. The US-driven splintering of world trade, geopolitical upheaval and divergent central bank policy is expected to continue to drive price moves. Wall Street's major indexes closed lower on Friday, with the Dow losing half a percent, the S&P 500 shedding 1 percent and the tech-heavy Nasdaq plunging 1.7 percent. Investors, including hedge funds, are making and losing money, while for governments, appreciating currencies and capital inflows have major economic implications, from reducing the appeal of exports to bolstering their ability to raise and repay debt. Provided exclusively to Reuters, this performance model tells us how systematic trend hedge funds performed on any currency pair that involved the dollar, in 2025 to November-end Provided exclusively to Reuters, this performance model tells us how systematic trend hedge funds performed on any currency pair that involved the dollar, in 2025 to November-end The risks have not gone unnoticed. The International Monetary Fund in its latest financial stability report warned about dangers from currency markets. Nearly half of global FX turnover is intermediated by just a small group of mostly large banks, leaving the market exposed should they scale back activity during periods of stress, the IMF said. Currency volumes are up almost 30 percent in the past three years, the latest data by the Bank for International Settlements from April shows. And 2025 has been a rollercoaster ride, with developed market currency volatility spiking to two-year highs in April before easing. A steadier market has made it a more attractive environment for carry trades -- borrowing in low-yielding currencies to invest in higher-yielding ones. Hedge fund EDL Capital, which manages $1 billion, is up 28 percent this year, on gains at the start of the year and around so-called Liberation Day, helped by bets against the dollar, said a source with knowledge of the matter. As a money-spinner for banks, trading EM currencies was a boon, data compiled for Reuters by Vali Analytics shows. EM currency trading generated almost $40 billion in revenue for the top 25 global banks in the first nine months, their best year so far. That's more than twice the $19 billion the banks earned from Group of 10 currencies, the data firm's analysis shows. The G10 comprises major currencies from the dollar to sterling to the euro. Finding opportunities to make money in currency trading, especially among the G10, has been challenging, said Samer Oweida, global head of foreign exchange and emerging markets trading at Morgan Stanley. ""If investors stayed within FX, they rotated into higher-yielding structural stories across emerging markets."" Just over half of 14 top currency traders, hedge fund managers and analysts Reuters spoke to see greater interest in EM currencies as a key trend likely to continue in 2026. Increased hedging and volatility in an era where dollar strength is no longer a given are also likely to persist, they said. The soft dollar tide has not floated all boats, however. Anaemic trade and investment flows pushed India's rupee to record lows, while worries about central bank independence and political unrest have hurt Indonesia's rupiah IDR. But while the dollar has recovered from a beating -- it suffered its biggest first-half dive since the early 1970s with losses of almost 11 percent -- analysts expect US rate cuts will bring further weakness. Traders are pricing two more quarter-point rate cuts by the Federal Reserve next year, LSEG data show. For many EM currencies that backdrop is key and has fuelled inflows. For some, ramped-up carry trades have added to momentum. Mexico's peso and Brazil's real are also among the best-performing emerging currencies this year. They feature prudent central banks and high interest rates, in Brazil's case rates are at a two-decade high of 15 percent, as well as easily accessible currency and bond markets. ""There have been strong inflows into broad EM, across both local and external (bond markets), and I would not bet on that trend reversing anytime soon,"" said Nikolas Skouloudis, portfolio manager at Amia Capital, which manages roughly $1.4 billion. The hedge fund returned 16 percent in the year so far, said a separate source familiar with the fund's performance.",2025-12-16 00:03:00
