id,url,paper_name,headline,article,publication_date,scraped_at
1,https://www.thedailystar.net/star-multimedia/views-multimedia/news/how-could-30000-foreigners-stay-here-without-valid-papers-3783406,thedailystar,"How could 30,000 foreigners stay here without valid papers?","A report reveals at least 30,000 foreigners are in Bangladesh with expired visas. Jamil Khan from The Daily Star discusses this issue with Sadi Muhammad Alok in today's Star Viewsroom.",2024-12-24 01:27:00,2025-12-20 13:50:37
2,https://www.thedailystar.net/star-multimedia/news-multimedia/news/kings-party-new-frontier-bangladeshs-politics-3789626,thedailystar,Kings Party: A new frontier in Bangladesh's politics?,"Recently, the term ""Kings Party"" has sparked discussions in political circles. BNP leader Ruhul Kabir Rizvi first used this term, alleging that some students are attempting to form a 'Kings Party'. In response, National Citizens' Committee Convener Nasiruddin Patwari stated, the true and original Kings Party of Bangladesh is BNP. But what exactly is the ""Kings Party""? And what is its role in Bangladesh's political history? Watch today's Star Explains to find out more.",2024-12-30 21:29:00,2025-12-20 13:50:41
3,https://www.thedailystar.net/star-multimedia/views-multimedia/news/kings-party-tag-still-sticks-bnp-samantha-sharmin-3789631,thedailystar,‘King's Party’ tag still sticks on BNP: Samantha Sharmin,"In this exclusive interview, Samantha Sharmin, spokesperson of the Jatiya Nagorik Committee, shares her vision for a youth-led political party in Bangladesh. What defines a youth-led movement? What ideologies would they embrace? Who are they inviting to join? Watch now to find out more.",2024-12-30 19:29:00,2025-12-20 13:50:41
4,https://www.thedailystar.net/star-multimedia/business-multimedia/news/businesses-need-govt-who-can-represent-them-ahsan-khan-chowdhury-3759946,thedailystar,Businesses need a govt who can represent them: Ahsan Khan Chowdhury,"The interim government has passed 100 days since the July uprising. Ahsan Khan Chowdhury, chairman and CEO of Pran-RFL Group spoke to The Daily Star about how business is going during the previous government and the interim government. Find out more on today's Star Connects.",2024-11-24 00:00:00,2025-12-20 13:50:44
5,https://www.thedailystar.net/star-multimedia/news-multimedia/news/why-the-govt-repeatedly-taking-u-turns-decisions-3724071,thedailystar,Why is the govt repeatedly taking U-turns on decisions,"In the two months since the interim government took office, it has taken a decision and then reversed it, which has happened in more than 10 instances. Political analysts see these events as signs of inexperience, lack of determination and problems created by trying to balance various demands. What is the reason why the interim government is backtracking from various decisions, or what kind of pressure is working on them? Find out more in today's Star Newsplus.",2024-10-09 22:35:00,2025-12-20 13:50:44
6,https://www.thedailystar.net/life-living/news/the-tragic-fate-stray-animals-japan-garden-city-3759541,thedailystar,The tragic fate of stray animals in Japan Garden City,"Stray animals, especially in cities and towns, are vulnerable to hunger and rely heavily on the goodwill of humans for survival. The poisoned food they consumed likely seemed like a lifeline to them—an act of compassion that turned out to be a cruel betrayal. Reports from the area suggest that the animals ate the food without hesitation, unknowingly consuming their death. This incident raises serious concerns about the safety and welfare of in Bangladesh. While some citizens and organisations work tirelessly to rescue and protect strays, there remain individuals who view these creatures as a nuisance rather than as beings deserving of care and respect. The poisoning of these innocent animals is not just an act of cruelty; it is a stark reminder of the darker side of human behaviour. In a society where kindness is celebrated as a virtue, such acts of violence against helpless animals reflect the urgent need for awareness and stricter laws to protect animal rights. Activists are calling for an investigation into the incident and urging the community to step forward to ensure that such tragedies do not occur again. Animal rights organisations emphasise that humane solutions, such as sterilisation and adoption programmes, are the ethical way to address the challenges posed by stray populations. This incident serves as a wake-up call for all of us to reflect on how we treat the most vulnerable members of our society, be they human or animal. The loss of these innocent lives is a tragedy that should never be repeated. Let us hope that justice is served and that this becomes a turning point in how animals are treated in Bangladesh.",2024-11-23 11:20:00,2025-12-20 13:50:44
7,https://www.thedailystar.net/star-multimedia/news-multimedia/news/two-doctors-treated-more-100-injured-july-protesters-3724081,thedailystar,Two doctors treated more than 100 injured in July protesters,"July 18, 2024. Anti-discrimination student movement in Dhanmondi-27. Many are dead, hundreds of injured people are running to the hospital. But there is no way to get treatment for fear of arrest. Law enforcers have occupied the road in front of the hospitals. And most of the hospitals were overflowing with the injured. Dhanmondi is like a war zone. In this situation, two young doctors Dr Arthi Zukhrif and Dr Hritisha Akhter Mithen came forward. Ignoring the threat of arrest, the two young Turks turned the garage of the house into a makeshift first aid centre. During the movement, they treated more than 100 injured people. Today's Star Special features these two indomitable doctors.",2024-10-09 22:39:00,2025-12-20 13:50:47
8,https://www.thedailystar.net/star-multimedia/news-multimedia/news/what-did-jamaat-ameer-say-1971-liberation-war-3724931,thedailystar,What did Jamaat ameer say on 1971 Liberation War?,"In an exclusive interview with The Daily Star, Jamaat-e-Islami Ameer Dr Shafiqur Rahman clears the stance of Jamaat during the Liberation War of 1971. Watch on Star Connects.",2024-10-10 23:05:00,2025-12-20 13:50:47
9,https://www.thedailystar.net/star-multimedia/news-multimedia/news/what-needs-be-done-stop-corruption-government-recruitment-3704251,thedailystar,What needs to be done to stop corruption in government recruitment,"In the aftermath of the mass uprising, expectations have been created among the people for reforms in different areas of the state. One of them is the 'public administration' sector. What kind of reforms are needed in the sector run by public servants, and how is that possible?",2024-09-15 23:15:00,2025-12-20 13:50:47
10,https://www.thedailystar.net/star-multimedia/views-multimedia/news/india-should-no-longer-become-the-main-factor-bangladesh-us-relations-samsuddoja-sazen-3704246,thedailystar,India should no longer become the main factor in Bangladesh-US relations: Samsuddoja Sazen,The image of strained US relations with the Hasina government has now changed. Why is the US delegation's visit to Bangladesh so important for us? What was discussed and what could be the outcome of this visit?,2024-09-15 23:45:00,2025-12-20 13:50:52
11,https://www.thedailystar.net/star-multimedia/news-multimedia/news/why-protesting-students-want-reform-quota-3652811,thedailystar,Why protesting students want reform in quota,"Nahid Islam, coordinator of the anti-discrimination students' movement, spoke to The Daily Star about why the protesting students want quota reform in government jobs and detailed the next steps of the movement.",2024-07-09 20:37:00,2025-12-20 13:50:52
12,https://www.thedailystar.net/news/bangladesh/news/female-garment-worker-killed-two-groups-clash-ashulia-3704821,thedailystar,Female garment worker killed as two groups clash in Ashulia,"The deceased was identified as Rokeya Begum. Md Sarwar Alam, SP of Ashulia Industrial Police-1 confirmed the death to The Daily Star. ""Workers of two garment factories -- Mascot and Radiant -- clashed this morning. Both groups threw brickbats at each other. A female worker was killed in the clash,"" he said. The reason behind the clash could not be known immediately, Sarwar said. Meanwhile, Harun-or-Rashid, manager of Nari O Shishu Hospital in Ashulia, told The Daily star around 11:00am that eight to 10 injured workers are receiving treatment at the hospital.",2024-09-17 11:44:00,2025-12-20 13:50:52
